FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,FAC_NAME,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
534843,SLOC,SAMPLE LOCATION,W,ALLIED GARDENS,355,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,209 SYS,N,,4605 VANDEVER AVE; (W. END OR PUBLIC PARK) SAMPLE STANCHION,,,N,0,0,A,349,J15S,5,1249J7,4605,,VANDEVER,AV,,,6301791.001,1867336.877,1740406.79,226892.8766,,N,179.54,,,,,UW-WS-TRN-SLOC-S103,IF?0100000000000142318
527280,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,60 SYS,N,,3902 9TH  AV; FIRE STATION/SAMPLE STANCHION,,,N,0,0,A,703,G19S,2,1269B5,0,,,,,,6282931.47,1853361.837,1721547.164,212917.8373,,N,89.93,,,,,UW-WS-TRN-SLOC-S084,IF?0100000000000142256
539387,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,170 SYS,N,,S VALENCIA PKWY/WESMEAD ST; SAMPLE STANCHION,,,N,0,0,A,421,K24S,3,1290C5,0,,,,,,6309453.202,1833704.016,1748069.029,193260.0157,,Y,0,,,,,UW-WS-TRN-SLOC-S112,IF?0100000000000142530
5053998,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.38,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,116 SYS,Y,?11?/?19?/?96? ?4?:?00? ?PM,4010 IDAHO ST,,,N,0,0,A,1171,H18S,5,1269D4,0,,,,,,6289579.577,1855403.816,1728195.305,214959.8156,,N,178.23,26314,5,D,,UW-WS-TRN-SLOC-S002,IF?0100000000000141648
5054000,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,114 SYS,Y,?11?/?19?/?96? ?4?:?00? ?PM,4010 IDAHO ST,,,N,0,0,A,1172,H18S,5,1269D4,0,,,,,,6289580.322,1855613.583,1728196.049,215169.5827,,N,179.52,26314,5,D,,UW-WS-TRN-SLOC-S003,IF?0100000000000141742
5529615,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,144 SYS,N,,BROOKLINE & DATE,,,N,0,0,A,617,J21S,6,1289J2,0,,,,,,6302846.001,1844044.626,1741461.795,203600.626,,N,0,,,,,UW-WS-TRN-SLOC-S294,IF?0100000000000140564
5207085,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,82 SYS,N,,PUMP STATION CONCRETE VAULT - EAST,,,N,0,0,A,409,M16S,1,1.25E+10,5540,,KIOWA,DR,,,6317071.102,1864804.954,1755686.968,224360.9541,,N,-30.43,,,,,UW-WS-TRN-SLOC-S169,IF?0100000000000141638
5207086,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,81 SYS,N,,PUMP STATION CONCRETE VAULT - WEST,,,N,0,0,A,410,M16S,1,1.27E+04,5540,,KIOWA,DR,,,6316941.355,1864755.295,1755557.22,224311.2953,,N,-125.28,,,,,UW-WS-TRN-SLOC-S170,IF?0100000000000141966
5207087,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,90 SYS,N,,EARL THOMAS RESERVOIR,,,N,0,0,A,411,M16S,1,1270F1,5540,,KIOWA,DR,,,6318384.967,1864675.856,1757000.839,224231.8563,,N,0,,,,,UW-WS-TRN-SLOC-S171,IF?0100000000000142115
5207088,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,C89,N,,BELOW DAM WEST OF CLEARWELLS,,,N,0,0,A,412,M16S,1,1250F7,5540,,KIOWA,DR,,,6317198.717,1864875.719,1755814.583,224431.7185,,N,0,,,,,UW-WS-TRN-SLOC-S172,IF?0100000000000141869
5207898,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,1,ALVARADO PLANT,N,0,0,85 SYS,N,,AVARADO INFLUENT AT FILTRATION PLANT,,1,N,0,0,A,413,M16S,1,1250F7,0,,,,,,6317931.345,1864820.735,1756547.215,224376.7349,,N,0,,,,,UW-WS-TRN-SLOC-S194,IF?0100000000000141484
5207899,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,1,ALVARADO PLANT,N,0,0,87 SYS,N,,AVARADO EFFLUENT AT FILTRATION PLANT,,1,N,0,0,A,414,M16S,1,1250F7,0,,,,,,6318033.196,1864821.759,1756649.066,224377.7585,,N,0,,,,,UW-WS-TRN-SLOC-S195,IF?0100000000000141605
5503982,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,285 SYS,N,,JAMACHA RD AND 68TH ST (SE CORNER NEAR PLAYGROUND  OF BOYS CLUB),,,N,0,0,A,900,L22S,6,1.29E+06,15022,,AVNDA VENUSTO,,,,6315216.001,1839205.751,1753831.857,198761.7513,,N,88.91,,,,,UW-WS-TRN-SLOC-S261,IF?0100000000000141180
5529616,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,148 SYS,N,,UPAS & RICHMOND,,,N,0,0,A,1097,G19S,6,1269B6,0,,,,,,6284607.756,1850560.151,1723223.459,210116.1509,,N,-179.75,,,,,UW-WS-TRN-SLOC-S295,IF?0100000000000140608
5534519,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,153 SYS,N,,5552 GALA AV,,,N,0,0,A,597,K14S,6,1250C5,0,,,,,,6309742.966,1871847.247,1748358.795,231403.2474,,N,45.97,,,,,UW-WS-TRN-SLOC-S305,IF?0100000000000140584
5565664,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,334 SYS,N,,6070 DIVISION ST,,,N,0,0,A,535,K24S,3,1290C5,15022,,AVNDA VENUSTO,,,,6310056.791,1833525.659,1748672.622,193081.6594,,N,17.2,,,,,UW-WS-TRN-SLOC-S321,IF?0100000000000140527
5503979,SLOC,SAMPLE LOCATION,W,ARCHER,330,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,273 SYS,N,,DAWES ST & ARCHER ST (SE CORNER),1,,N,0,0,A,893,B13S,2,1247H4,5279,,DAWES,ST,,,6253192.979,1876557.812,1691808.525,236113.8117,,N,178.31,,,,,UW-WS-TRN-SLOC-S258,IF?0100000000000141300
533042,SLOC,SAMPLE LOCATION,W,ARNOLD HILLS,358,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,239 SYS,N,,1761 PETRA DR,1,,N,0,0,A,617,I21S,5,1289F2,1761,,PETRA,DR,,,6294630.522,1844404.977,1733246.275,203960.977,,N,-42.76,,,,,UW-WS-TRN-SLOC-S096,IF?0100000000000142551
5212266,SLOC,SAMPLE LOCATION,W,ARROYO SORRENTO,470,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,278 SYS,N,,TORREY VIEW CT ACROSS FROM PYXIS,,,N,0,0,A,431,C03S,5,1208A3,0,,,,,,6259824.029,1916275.778,1698439.608,275831.7776,,N,87.42,,,,,UW-WS-TRN-SLOC-S201,IF?0100000000000141777
5205428,SLOC,SAMPLE LOCATION,W,BAY TERRACE,490,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,204 SYS,N,,"LOC PER MARGARET GLASER, 6/30/00",,,N,0,0,A,189,M26S,1,1310F1,2790,,SYLVY,WY,,,6317343.084,1825449.938,1755958.951,185005.9377,,N,0,,,,,UW-WS-TRN-SLOC-S165,IF?0100000000000141835
5529672,SLOC,SAMPLE LOCATION,W,BAY TERRACE,490,0,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,204A SYS,N,,2787 ALTA VIEW DR,,,N,0,0,A,783,M25S,4,1310F1,0,,,,,,6317618.747,1826534.108,1756234.615,186090.1076,,N,75.04,,,,,UW-WS-TRN-SLOC-S297,IF?0100000000000140745
518533,SLOC,SAMPLE LOCATION,W,BAYVIEW,463,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,215 SYS,N,,ACROSS FROM 5105 SOLEDAD RD.  SAMPLE STANCHION,,,N,0,0,A,459,C13S,1,1248A4,0,,,,,,6257544.501,1876505.627,1696160.069,236061.6266,,Y,0,,,,,UW-WS-TRN-SLOC-S068,IF?0100000000000141757
5525476,SLOC,SAMPLE LOCATION,W,BERNARDO HEIGHTS,1020,0,DP,,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,313 SYS,N,,11602 CALLE PARACHO,,,N,0,0,A,891,K05N,2,1170A5,0,,,,,,6307473.314,1944931.191,1746089.131,304487.1909,,N,-69,,,,,UW-WS-TRN-SLOC-S286,IF?0100000000000140690
540068,SLOC,SAMPLE LOCATION,W,BERNARDO OAKS,680,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,67 SYS,N,,POMERADO RD/GRANDEE PL; SAMPLE STANCHION,,1,N,0,0,A,529,L07N,2,1170C2,0,,,,,,6313370.499,1954388.875,1751986.346,313944.8747,,N,49.79,,,,,UW-WS-TRN-SLOC-S115,IF?0100000000000142428
5212287,SLOC,SAMPLE LOCATION,W,BERNARDO OAKS,680,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,282 SYS,N,,18402 W. BERNARDO DR. STANCHION AT COMMUNITY PARK,,,N,0,0,A,319,K09N,3,1150A6,18402,,WEST BERNARDO,DR,,,6309189.167,1961940.364,1747804.993,321496.3642,,N,88.5,,,,,UW-WS-TRN-SLOC-S204,IF?0100000000000141646
5593629,SLOC,SAMPLE LOCATION,W,BERNARDO OAKS,680,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,282A SYS,N,,18169 WEST BERNARDO DR; NEXT TO HYD MAPID 14,,,N,0,0,A,320,K09N,3,1150A6,18169,,WEST BERNARDO,DR,,,6309335.289,1962106.673,1747951.115,321662.6732,,N,1.07,,,,,UW-WS-TRN-SLOC-S335,IF?0100000000000140730
540295,SLOC,SAMPLE LOCATION,W,BERNARDO TRAILS,800,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,237 SYS,N,,17910 AVENIDA CORDILLERA,,,N,0,0,A,484,L09N,6,1150D6,17910,,AVNDA CORDILLERA,,,,6315982.001,1960016.25,1754597.861,319572.25,,N,0,,,,,UW-WS-TRN-SLOC-S117,IF?0100000000000142219
5524135,SLOC,SAMPLE LOCATION,W,BLACK MTN RANCH,520,0,DP,,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,A,,,N,0,0,304 SYS,N,,14462 GARDEN TRAIL,,,N,0,0,A,571,G04N,4,1188J1,14462,,GARDEN,TL,,,6281500.489,1939342.844,1720116.176,298898.8445,,Y,-145.74,,,,,UW-WS-TRN-SLOC-S282,IF?0100000000000141267
526676,SLOC,SAMPLE LOCATION,W,CABRILLO PALISADES,635,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,240 SYS,N,,3387 KEARNY VILLA LN.,1,,N,0,0,A,454,G14S,2,1249B4,3365,,KEARNY VILLA,LN,,,6284099.501,1874063.127,1722715.202,233619.1266,,N,-130.15,,,,,UW-WS-TRN-SLOC-S083,IF?0100000000000142157
5212267,SLOC,SAMPLE LOCATION,W,CARMEL COUNTRY,495,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,279 SYS,Y,?3?/?15?/?09? ?5?:?00? ?PM,10885 CLOVERHURST WY,,,N,0,0,A,291,E02S,4,1.21E+04,10885,,CLOVERHURST,WY,,,6269706.004,1920195.075,1708321.632,279751.0755,,Y,0,,,,,UW-WS-TRN-SLOC-S202,IF?0100000000000141400
5205450,SLOC,SAMPLE LOCATION,W,CARMEL MALL,920,2,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,233 SYS,N,,12119 WORLD TRADE DR,,,N,0,0,A,996,K04N,6,1190A1,12119,,WORLD TRADE,DR,,,6309220.781,1938490.177,1747836.607,298046.1772,,N,0,,,,,UW-WS-TRN-SLOC-S167,IF?0100000000000141759
5205451,SLOC,SAMPLE LOCATION,W,CARMEL MALL,920,0.5,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,236 SYS,N,,15022 AVENIDA VENUSTO,,,N,0,0,A,101,L04N,1,1170B6,15022,,AVNDA VENUSTO,,,,6310959.006,1941921.112,1749574.841,301477.1122,,N,0,,,,,UW-WS-TRN-SLOC-S168,IF?0100000000000141707
517389,SLOC,SAMPLE LOCATION,W,CARMEL VALLEY,330,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,229 SYS,N,,CARMEL PARK DR/DEL MAR GLEN; PUBLIC SCHOOL/SAMPLE STANCHION,,,N,0,0,A,523,C01S,6,1188A7,0,,,,,,6261239.268,1923567.74,1699854.855,283123.7395,,N,-21.11,,,,,UW-WS-TRN-SLOC-S061,IF?0100000000000142194
517513,SLOC,SAMPLE LOCATION,W,CARMEL VALLEY,330,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,228 SYS,N,,3510 VALLEY CENTRE DR  SAMPLE STANCHION,,,N,0,0,A,177,C02S,1,1207J1,3510,,VALLEY CENTRE,DR,,,6258362.989,1921397.457,1696978.561,280953.4573,,N,0,,,,,UW-WS-TRN-SLOC-S063,IF?0100000000000142132
542552,SLOC,SAMPLE LOCATION,W,CARMEL VIEW,346,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,201 SYS,N,,1880 SMYTHE AVE.; SAMPLE STANCHION INFRONT OF SCHOOL,,1,N,0,0,A,462,L36S,3,1350F2,1880,,SMYTHE,AV,,,6315284.501,1785854.124,1753900.358,145410.124,,N,89.73,,,,,UW-WS-TRN-SLOC-S123,IF?0100000000000142521
523533,SLOC,SAMPLE LOCATION,W,CARROLL RIDGE,610,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,241 SYS,N,,9440 CARROLL PARK DR,1,,N,0,0,A,300,F06S,5,1208H7,0,,,,,,6278044.997,1903926.411,1716660.667,263482.4108,,N,0,,,,,UW-WS-TRN-SLOC-S078,IF?0100000000000141932
516913,SLOC,SAMPLE LOCATION,W,CATALINA,462,2,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,206 SYS,N,,1055 CATALINA BLVD @ FIRE STATION SAMPLE STANCHION,,,N,0,0,A,682,B21S,3,1288A2,1055,,CATALINA,BL,,,6255844.501,1845247.375,1694460.061,204803.3753,,N,-13.14,,,,,UW-WS-TRN-SLOC-S059,IF?0100000000000141872
5611126,SLOC,SAMPLE LOCATION,W,CATALINA,462,2,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,15A SYS,N,,1061 CATALINA BLVD ON OUTLET PIPE; SAMPLE STANCHION,,,N,0,0,A,1144,B21S,3,1288A2,1055,,CATALINA,BL,,,6255850.82,1845298.36,1694466.379,204854.3596,,N,-102.58,,,,,UW-WS-TRN-SLOC-S344,IF?0100000000000141694
544075,SLOC,SAMPLE LOCATION,W,CLIMAX,910,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,242 SYS,N,,7260 BARKER WY,,,N,0,0,A,346,N13S,2,1250J3,8614,,HIGHWOOD,DR,,,6325735.499,1876572.749,1764351.407,236128.7493,,Y,1.41,,,,,UW-WS-TRN-SLOC-S128,IF?0100000000000143452
5585817,SLOC,SAMPLE LOCATION,W,CLIMAX,910,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,152A SYS,N,,8571 HIGHWOOD DR,,,N,0,0,A,453,N13S,6,1250J4,11911,,CARMEL CREEK,RD,,,6326987.329,1874871.467,1765603.244,234427.4665,,N,-146.25,,,,,UW-WS-TRN-SLOC-S329,IF?0100000000000140753
538257,SLOC,SAMPLE LOCATION,W,COLLEGE CANYON,468,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,207 SYS,N,,5485 ADOBE FALLS RD,1,,N,0,0,A,286,K16S,1,1270A1,5485,,ADOBE FALLS,RD,,,6306275.499,1865078.999,1744891.31,224634.9993,,N,-141.55,,,,,UW-WS-TRN-SLOC-S110,IF?0100000000000142584
5558872,SLOC,SAMPLE LOCATION,W,CORNISH HILL,360,0.5,,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,330 SYS,N,,775 CORNISH DR,,,N,0,0,A,1103,B21S,5,1287H2,0,,,,,,6252956.001,1843522.001,1691571.545,203078.0013,,N,-25.61,,,,,UW-WS-TRN-SLOC-S314,IF?0100000000000140724
544232,SLOC,SAMPLE LOCATION,W,COUNTRY CASUAL,925,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,243 SYS,N,,8709 LAKE ATHABASKA WAY,,,N,0,0,A,587,N14S,6,1251A5,8709,,LAKE ATHABASKA,WY,,,6328056.001,1871381.499,1766671.921,230937.4993,,N,155.91,,,,,UW-WS-TRN-SLOC-S131,IF?0100000000000143477
5204610,SLOC,SAMPLE LOCATION,W,DEL CERRO,656,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,208 SYS,N,,6002 CAMINO RICO SAMPLE STANCHION,,1,N,0,0,A,534,L15S,1,1250C6,6002,,CAM RICO,,,,6310636.49,1869398.494,1749252.323,228954.4941,,N,-57.84,,,,,UW-WS-TRN-SLOC-S155,IF?0100000000000141715
5611779,SLOC,SAMPLE LOCATION,W,DEL CERRO,656,0.38,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,208A SYS,Y,?3?/?16?/?11? ?5?:?00? ?PM,ACROSS FROM 6228 WENRICH,,1,N,0,0,A,485,K15S,6,1250C6,6002,,CAM RICO,,,,6310254.747,1867972.021,1748870.579,227528.021,,N,6.84,,,,,UW-WS-TRN-SLOC-S345,IF?0100000000000141398
517512,SLOC,SAMPLE LOCATION,W,DEL MAR HILLS,435,2,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,244 SYS,N,,13051 PORTOFINO DR; SAMPLE STANCHION,,,N,0,0,A,176,C02S,1,1207J1,13051,,PORTOFINO,DR,,,6256866.499,1921943.251,1695482.064,281499.2513,,N,0,,,,,UW-WS-TRN-SLOC-S062,IF?0100000000000141935
515541,SLOC,SAMPLE LOCATION,W,DEL MAR TERRACE,328,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,245 SYS,N,,12935 VIA LATINA,,,N,0,0,A,284,B02S,3,1207H1,12935,,VIA LATINA,,,,6255541.499,1921305.876,1694157.057,280861.876,,N,-83.59,,,,,UW-WS-TRN-SLOC-S050,IF?0100000000000141705
5504027,SLOC,SAMPLE LOCATION,W,DENNERY RD,365,0.5,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,300 SYS,N,,5368 TOPSAIL DR,,,N,0,0,A,242,N33S,5,1331A6,5368,,TOPSAIL,DR,,,6325982.664,1794793.33,1764598.574,154349.3301,,Y,1.4,,,,,UW-WS-TRN-SLOC-S270,IF?0100000000000141245
544230,SLOC,SAMPLE LOCATION,W,EAGLE RIDGE,940,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,246 SYS,N,,7928 WING SPAN DR,1,,N,0,0,A,585,N14S,1,1250G4,7928,,WING SPAN,DR,,,6322461.572,1874273.871,1761077.464,233829.8714,,Y,0,,,,,UW-WS-TRN-SLOC-S129,IF?0100000000000142356
523534,SLOC,SAMPLE LOCATION,W,EL CAMINO,470,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,247 SYS,N,,SAMPLE STANCHION,1,,N,0,0,A,301,F06S,6,1208H7,8985,,REHCO,RD,,,6278652.956,1903970.843,1717268.629,263526.8432,,N,81.06,,,,,UW-WS-TRN-SLOC-S079,IF?0100000000000142097
5597029,SLOC,SAMPLE LOCATION,W,EL CAMINO,470,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,247A SYS,N,,9151 REHCO RD. SAMPLE STANCHION,1,,N,0,0,A,788,F06S,3,1208H7,8985,,REHCO,RD,,,6278475.187,1904898.297,1717090.859,264454.2972,,N,-43.52,,,,,UW-WS-TRN-SLOC-S336,IF?0100000000000141625
518534,SLOC,SAMPLE LOCATION,W,FLORAL TERRACE,295,0.75,DP,,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,248 SYS,N,,2360 BERYL ST,,,N,0,0,A,460,C13S,6,1248B4,2360,,BERYL,ST,,,6260966.499,1875554.501,1699582.084,235110.5013,,N,-8.61,,,,,UW-WS-TRN-SLOC-S069,IF?0100000000000141879
