,FAC_NAME,site_match,FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
3,170 SYS,NA,539387,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,S VALENCIA PKWY/WESMEAD ST; SAMPLE STANCHION,NA,NA,N,0,0,A,421,K24S,3,1290C5,0,,,,,NA,6309453.202,1833704.016,1748069.029,193260.0157,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S112,IF?0100000000000142530
10,C89,NA,5207088,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BELOW DAM WEST OF CLEARWELLS,NA,NA,N,0,0,A,412,M16S,1,1250F7,5540,,KIOWA,DR,,NA,6317198.717,1864875.719,1755814.583,224431.7185,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S172,IF?0100000000000141869
17,273 SYS,NA,5503979,SLOC,SAMPLE LOCATION,W,ARCHER,330,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,DAWES ST & ARCHER ST (SE CORNER),1,NA,N,0,0,A,893,B13S,2,1247H4,5279,,DAWES,ST,,NA,6253192.979,1876557.812,1691808.525,236113.8117,NA,N,178.31,NA,NA,,NA,UW-WS-TRN-SLOC-S258,IF?0100000000000141300
20,204 SYS,NA,5205428,SLOC,SAMPLE LOCATION,W,BAY TERRACE,490,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,"LOC PER MARGARET GLASER, 6/30/00",NA,NA,N,0,0,A,189,M26S,1,1310F1,2790,,SYLVY,WY,,NA,6317343.084,1825449.938,1755958.951,185005.9377,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S165,IF?0100000000000141835
34,228 SYS,NA,517513,SLOC,SAMPLE LOCATION,W,CARMEL VALLEY,330,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,3510 VALLEY CENTRE DR  SAMPLE STANCHION,NA,NA,N,0,0,A,177,C02S,1,1207J1,3510,,VALLEY CENTRE,DR,,NA,6258362.989,1921397.457,1696978.561,280953.4573,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S063,IF?0100000000000142132
36,241 SYS,NA,523533,SLOC,SAMPLE LOCATION,W,CARROLL RIDGE,610,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,9440 CARROLL PARK DR,1,NA,N,0,0,A,300,F06S,5,1208H7,0,,,,,NA,6278044.997,1903926.411,1716660.667,263482.4108,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S078,IF?0100000000000141932
41,207 SYS,NA,538257,SLOC,SAMPLE LOCATION,W,COLLEGE CANYON,468,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,N,,5485 ADOBE FALLS RD,1,NA,N,0,0,A,286,K16S,1,1270A1,5485,,ADOBE FALLS,RD,,NA,6306275.499,1865078.999,1744891.31,224634.9993,NA,N,-141.55,NA,NA,,NA,UW-WS-TRN-SLOC-S110,IF?0100000000000142584
42,330 SYS,NA,5558872,SLOC,SAMPLE LOCATION,W,CORNISH HILL,360,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,775 CORNISH DR,NA,NA,N,0,0,A,1103,B21S,5,1287H2,0,,,,,NA,6252956.001,1843522.001,1691571.545,203078.0013,NA,N,-25.61,NA,NA,,NA,UW-WS-TRN-SLOC-S314,IF?0100000000000140724
44,208 SYS,NA,5204610,SLOC,SAMPLE LOCATION,W,DEL CERRO,656,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,6002 CAMINO RICO SAMPLE STANCHION,NA,1,N,0,0,A,534,L15S,1,1250C6,6002,,CAM RICO,,,NA,6310636.49,1869398.494,1749252.323,228954.4941,NA,N,-57.84,NA,NA,,NA,UW-WS-TRN-SLOC-S155,IF?0100000000000141715
50,247 SYS,NA,523534,SLOC,SAMPLE LOCATION,W,EL CAMINO,470,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,SAMPLE STANCHION,1,NA,N,0,0,A,301,F06S,6,1208H7,8985,,REHCO,RD,,NA,6278652.956,1903970.843,1717268.629,263526.8432,NA,N,81.06,NA,NA,,NA,UW-WS-TRN-SLOC-S079,IF?0100000000000142097
52,248 SYS,NA,518534,SLOC,SAMPLE LOCATION,W,FLORAL TERRACE,295,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,2360 BERYL ST,NA,NA,N,0,0,A,460,C13S,6,1248B4,2360,,BERYL,ST,,NA,6260966.499,1875554.501,1699582.084,235110.5013,NA,N,-8.61,NA,NA,,NA,UW-WS-TRN-SLOC-S069,IF?0100000000000141879
54,249 SYS,NA,524525,SLOC,SAMPLE LOCATION,W,GLIDDEN,320,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,6309 GLIDDEN ST; SAMPLE STANCHION,1,NA,N,0,0,A,572,F16S,4,1268H2,6471,,GLIDDEN,ST,,NA,6275663.222,1863277.969,1714278.88,222833.9692,NA,N,-176.19,NA,NA,,NA,UW-WS-TRN-SLOC-S081,IF?0100000000000141997
56,266 SYS,NA,536213,SLOC,SAMPLE LOCATION,W,GOLF COURSE,1130,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,SHOAL CREEK DR; PUMP STATION/HOSE BIB,NA,NA,N,0,0,A,370,K02N,2,1190A3,0,,,,,NA,6306784.213,1932785.377,1745400.027,292341.3773,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S105,IF?0100000000000142594
57,290 SYS,NA,5504023,SLOC,SAMPLE LOCATION,W,GOLF COURSE,1130,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,14254 BREEZEWAY PL (METER BOX),1,NA,N,0,0,A,1198,K03N,5,1190A2,10940,,SCRIPPS RANCH,BL,,NA,6307840.597,1935986.732,1746456.416,295542.7323,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S266,IF?0100000000000140953
61,M260,NA,534669,SLOC,SAMPLE LOCATION,W,KEARNY MESA,600,0.75,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,SAMPLE BOX,NA,NA,N,0,0,A,618,J12S,6,1249J2,4250,,CARTULINA,RD,,NA,6303903.609,1879744.724,1742519.408,239300.7244,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S100,IF?0100000000000142394
65,178 SYS,NA,515117,SLOC,SAMPLE LOCATION,W,LA JOLLA HERMOSA,370,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1025 W. MUIRLANDS DR.   SAMPLE STANCHION,NA,NA,N,0,0,A,544,A11S,2,1247F1,1025,,WEST MUIRLANDS,DR,,NA,6248105.266,1884848.31,1686720.786,244404.3104,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S046,IF?0100000000000141800
68,252 SYS,NA,518309,SLOC,SAMPLE LOCATION,W,LA JOLLA PACIFICA,594,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,5897 DESERT VIEW DR (ACROSS STREET),NA,NA,N,0,0,A,347,C11S,5,1248A2,5910,,DESERT VIEW,DR,,NA,6258561.001,1882504.249,1697176.573,242060.2487,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S067,IF?0100000000000142053
72,C14,NA,5207494,SLOC,SAMPLE LOCATION,W,LA JOLLA SOLEDAD W,925,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,"6600 BLK LA JOLLA SCENIC DR S/SE OF RESV, SPIGOT ATTACHED TO RAILING",NA,NA,N,0,0,A,538,B11S,3,1227J7,0,,,,,NA,6254955.892,1886104.347,1693571.447,245660.3471,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S186,IF?0100000000000141559
74,280 SYS,NA,5212289,SLOC,SAMPLE LOCATION,W,LA MIRAGE,500,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,6542 REFLECTION DR,1,NA,N,0,0,A,541,I15S,3,1249G6,6542,,REFLECTION,DR,,NA,6297998.894,1869346.444,1736614.664,228902.4436,NA,N,89.38,NA,NA,,NA,UW-WS-TRN-SLOC-S206,IF?0100000000000141408
78,221 SYS,NA,521589,SLOC,SAMPLE LOCATION,W,LUSK PARK,470,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,N,,54551/2 OBERLIN DR SAMPLE STANCHION,1,NA,N,0,0,A,257,E06S,1,1.21E+10,5455,,OBERLIN,DR,,NA,6270168.658,1905426.414,1708784.289,264982.414,NA,N,179.88,NA,NA,,NA,UW-WS-TRN-SLOC-S074,IF?0100000000000142084
79,276 SYS,NA,5212264,SLOC,SAMPLE LOCATION,W,LUSK PARK,470,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,MOORLAND HTS/WILD BLOSSOM TR,1,NA,N,0,0,A,352,E04S,1,1.21E+07,0,,,,,NA,6269975.459,1912499.908,1708591.089,272055.9081,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S199,IF?0100000000000141486
81,276A SYS,NA,5586105,SLOC,SAMPLE LOCATION,W,LUSK PARK,470,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,5285 SETTING SUN WY,1,NA,N,0,0,A,435,E04S,4,1.21E+07,5285,,SETTING SUN,WY,,NA,6270005.928,1912118.406,1708621.559,271674.4055,NA,N,-151.85,NA,NA,,NA,UW-WS-TRN-SLOC-S331,IF?0100000000000140570
86,,NA,5608615,SLOC,SAMPLE LOCATION,W,MIRA MESA,625,0,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,,NA,NA,N,0,0,A,1040,I02S,4,1.21E+04,0,,,,,NA,6293972.648,1919510.016,1732588.398,279066.0164,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S340,IF?0100000000000141548
89,181 SYS,NA,531524,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,WESTVIEW PKWY/GALVIN AV; SAMPLE STANCHION,NA,NA,N,0,0,A,561,I03S,5,1.21E+05,0,,,,,NA,6294782.379,1915920.528,1733398.133,275476.5282,NA,N,148.43,NA,NA,,NA,UW-WS-TRN-SLOC-S092,IF?0100000000000142322
90,263 SYS,NA,531525,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,SAMPLE BOX,NA,NA,N,0,0,A,562,I03S,6,1209F3,10940,,SCRIPPS RANCH,BL,,NA,6297071.447,1914934.485,1735687.212,274490.4849,NA,N,0.1,NA,NA,,NA,UW-WS-TRN-SLOC-S093,IF?0100000000000142365
91,232 SYS,NA,533534,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,MORNING CRK DR/OLD SYCAMORE DR; SAMPLE STANCHION,NA,NA,N,0,0,A,324,J01N,6,1189H5,0,,,,,NA,6302553.169,1927863.757,1741168.962,287419.7566,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S097,IF?0100000000000142297
93,6 SYS,NA,5207091,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,NORTH SIDE OF DISTRIBUTION RESERVOIR #1,NA,NA,N,0,0,A,814,J04S,2,1209H3,10710,,SCRIPPS LAKE,DR,,NA,6301015.292,1913030.03,1739631.077,272586.0295,NA,N,89.37,NA,NA,,NA,UW-WS-TRN-SLOC-S174,IF?0100000000000142011
94,INFLUENT WATER SAMPLE / 1 SYS,NA,5207895,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,22,MIRMR PLNT/RESERVOIRS,N,0,0,N,,MIRAMAR INFLUENT AT FILTRATION PLANT,NA,1,N,0,0,A,815,J04S,2,1209H4,0,,,,,NA,6301475.427,1912731.122,1740091.214,272287.122,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S191,IF?0100000000000141665
95,ENFLUENT WATER SAMPLE / 3 SYS,NA,5207896,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,22,MIRMR PLNT/RESERVOIRS,N,0,0,N,,MIRAMAR EFFLUENT AT FILTRATION PLANT,NA,1,N,0,0,A,816,J04S,2,1209H4,0,,,,,NA,6301474.954,1912686.358,1740090.741,272242.3583,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S192,IF?0100000000000141720
96,FILTERED WATER SAMPLE / N7,NA,5207897,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,22,MIRMR PLNT/RESERVOIRS,N,0,0,N,,MIRAMAR SETTLED WATER AT FILTRATION PLANT,NA,NA,N,0,0,A,817,J04S,2,1209H4,0,,,,,NA,6301474.432,1912634.974,1740090.22,272190.9738,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S193,IF?0100000000000141771
99,295,NA,5504025,SLOC,SAMPLE LOCATION,W,MIRAMAR,712,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,11305 AFFINITY CT,NA,NA,N,0,0,A,1218,I03S,3,1209F2,10940,,SCRIPPS RANCH,BL,,NA,6297009.56,1916744.173,1735625.325,276300.1732,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S268,IF?0100000000000141079
108,C9,NA,5207116,SLOC,SAMPLE LOCATION,W,NORTH CITY,610,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,AL BAHR DR & SOLEDAD AV WEST OF DISTRIBUTION RESERVOIR,NA,NA,N,0,0,A,703,A10S,3,1227F6,0,,,,,NA,6249445.787,1888510.335,1688061.315,248066.3346,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S178,IF?0100000000000141911
120,202 SYS,NA,544630,SLOC,SAMPLE LOCATION,W,OTAY MESA,590,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,5400 BLK OTAY VALLEY RD PUMP STATION/PETCOCK,NA,NA,N,0,0,A,140,O34S,1,1331C6,0,,,,,NA,6330273.596,1793398.543,1768889.527,152954.5433,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S133,IF?0100000000000143351
122,319 SYS,NA,5529673,SLOC,SAMPLE LOCATION,W,OTAY MESA,680,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,OTAY TREATMENT PLANT EFFLUENT ENTRY - DISTR SYSTEM,NA,1,N,0,0,A,519,R32S,3,1332A3,0,,,,,NA,6351497.096,1801034.403,1790113.134,160590.4029,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S298,IF?0100000000000140801
124,PACIFIC BEACH PIPELINE,NA,5204616,SLOC,SAMPLE LOCATION,W,PACIFIC BEACH,307,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,INGRAHAM ST & VACATION RD,NA,NA,N,0,0,A,99,C16S,5,1268A2,0,,,,,NA,6258804.501,1862726.624,1697420.075,222282.624,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S156,IF?0100000000000141845
125,PACIFIC BEACH PIPELINE,NA,5529675,SLOC,SAMPLE LOCATION,W,PACIFIC BEACH,307,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,HAINES ST @ FELSPAR ST,NA,NA,N,0,0,A,661,C14S,1,1247J5,0,,,,,NA,6256541.588,1872519.196,1695157.151,232075.1962,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S300,IF?0100000000000140589
128,203 SYS,NA,5205427,SLOC,SAMPLE LOCATION,W,PARADISE HILLS #1,472,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,RIDGEWOOD DR & PINE BLUFF LN IN FRONT OF SCHOOL PER M. GLASER 6/14/00,NA,NA,N,0,0,A,534,L24S,5,1290D7,0,,,,,NA,6312504.629,1830606.929,1751120.472,190162.9291,NA,Y,8.11,NA,NA,,NA,UW-WS-TRN-SLOC-S164,IF?0100000000000141760
135,234 SYS,NA,533701,SLOC,SAMPLE LOCATION,W,PENASQUITOS,920,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,CUCA ST,NA,NA,N,0,0,A,257,J02N,2,1189H2,14125,,CUCA,ST,,NA,6301896.499,1934117.874,1740512.289,293673.874,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S098,IF?0100000000000142531
138,277 SYS,NA,5212265,SLOC,SAMPLE LOCATION,W,PENASQUITOS PARK VW,470,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,PARK VILLAGE RD/CAM RUIZ AT SCHOOL (STANTION),NA,NA,N,0,0,A,356,G01S,6,1189B7,0,,,,,NA,6285468.783,1923219.59,1724084.49,282775.5899,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S200,IF?0100000000000141607
143,S15,NA,5207120,SLOC,SAMPLE LOCATION,W,POINT LOMA,260,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1000 BLK CATALINA BL,NA,NA,N,0,0,A,702,B21S,3,1288A2,0,,,,,NA,6256037.93,1845176.46,1694653.49,204732.46,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S181,IF?0100000000000142116
146,N21,NA,5207491,SLOC,SAMPLE LOCATION,W,POMERADO PARK,920,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,15900 BLK BIG SPRINGS WY SOUTHWEST OF DISTRIBUTION RESERVOIR ON EAST SIDE OF ACCESS ROAD,NA,NA,N,0,0,A,697,K06N,4,1169J4,0,,,,,NA,6305753.753,1947253.671,1744369.562,306809.6713,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S183,IF?0100000000000142039
147,,NA,5668270,SLOC,SAMPLE LOCATION,W,POMERADO PARK,920,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,Y,?8?/?28?/?14? ?5?:?00? ?PM,16000 BLK AVNDA VENUSTO NORTH SIDE OF DISTRIBUTION RESERVOIR,NA,NA,N,0,0,A,898,K05N,3,1170A5,0,,,,,NA,6308902.454,1946229.403,1747518.279,305785.4029,NA,N,0,31623,0,D,NA,UW-WS-TRN-SLOC-S346,IF?0100000000000141494
152,S142,NA,5207496,SLOC,SAMPLE LOCATION,W,PRINCIPAL DOWNTOWN,231,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,CROSBY ST/CROSBY RD (10TH AVE PIER) NEXT TO RR TRACKS,NA,NA,N,0,0,A,727,G23S,6,1289C5,0,,,,,NA,6285118.287,1834595.21,1723733.993,194151.21,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S188,IF?0100000000000141529
