EMTS_title,section,section_number,text,content_type,style_name
APPLICATION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Application,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
APPLICATION AND SCOPE OF THE METHOD,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Application and Scope of the Method,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
DESCRIPTION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Description,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
DESCRIPTION AND SCOPE OF METHOD,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Description and Scope of Method,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
INTRODUCTION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Introduction,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Introduction and Summary,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
PURPOSE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Purpose,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
PURPOSE AND SCOPE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Purpose and Scope,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
BACKGROUND,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Background,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
SCOPE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Scope,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
SCOPE AND APPLICATION,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Scope and application,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Scope and Application,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
PRINCIPLE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Principle,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
OBJECTIVE,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Objective,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
Test Summary,SCOPE AND APPLICATION,1,SCOPE AND APPLICATION,paragraph,heading 1
SUMMARY,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
SUMMARY OF METHOD,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of Method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of the method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of Test Method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
SUMMARY OF SOP,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of SOP,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
SUMMARY OF THE METHOD,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
Summary of the Method,SUMMARY OF METHOD,2,SUMMARY OF METHOD,paragraph,heading 1
DEVIATIONS FROM METHOD,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
Deviation from the method,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
Deviations from the method,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
Deviations From Method,DEVIATIONS FROM METHOD,3,DEVIATIONS FROM METHOD,paragraph,heading 1
DEFINITIONS,DEFINITIONS,4,DEFINITIONS,paragraph,heading 1
Definitions,DEFINITIONS,4,DEFINITIONS,paragraph,heading 1
DEFINITIONS AND ABBREVIATIONS,DEFINITIONS,4,DEFINITIONS,paragraph,heading 1
Definitions and Abbreviations,DEFINITIONS,4,DEFINITIONS,paragraph,heading 1
DEFINITIONS AND EXPLANATION OF TERMS,DEFINITIONS,4,DEFINITIONS,paragraph,heading 1
Definitions and Explanation of Terms,DEFINITIONS,4,DEFINITIONS,paragraph,heading 1
INTERFERNCES AND LIMITATIONS,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
INTERFERENCES,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
Interferences,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
INTERFERENCES AND SOURCES OF ERROR,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
INTERFERENCES AND LIMITATIONS,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
Interferences and Limitations,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
Interferences and Sources of Error,INTERFERENCES,5,INTERFERENCES,paragraph,heading 1
LABORATORY SAFETY,SAFETY,6,SAFETY,paragraph,heading 1
Laboratory Safety,SAFETY,6,SAFETY,paragraph,heading 1
SAFETY,SAFETY,6,SAFETY,paragraph,heading 1
Safety,SAFETY,6,SAFETY,paragraph,heading 1
Safety and Equipment,SAFETY,6,SAFETY,paragraph,heading 1
SAFETY PRECAUTIONS,SAFETY,6,SAFETY,paragraph,heading 1
Safety Precautions,SAFETY,6,SAFETY,paragraph,heading 1
"APPARATUS, MATERIALS AND EQUIPMENT",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"Apparatus, Materials and Equipment",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"APPARATUS, MATERIALS, & EQUIPMENT",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"Apparatus, Materials, & Equipment",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"APPARATUS, MATERIALS, AND EQUIPMENT",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Apparatus and Equipment,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Apparatus and equipment,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Apparatus & Equipment,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"Apparatus, Materials, and Equipment",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
EQUIPMENT,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Equipment,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
EQUIPMENT AND MATERIALS,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Equipment and Materials,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
EQUIPMENT AND SUPPLIES,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Equipment and Supplies,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
INSTRUMENTATION,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Instrumentation,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
LABWARE & EQUIPMENT,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Labware & Equipment,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
MATERIAL,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Material,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
MATERIALS,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Materials,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
MATERIALS AND EQUIPMENT,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
Materials and Equipment,EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"MATERIALS, AND EQUIPMENT",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"Materials, and Equipment",EQUIPMENT AND SUPPLIES,7,EQUIPMENT AND SUPPLIES,paragraph,heading 1
"APPARATUS, MATERIALS, REAGENTS, AND EQUIPMENT",EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
"Apparatus, Materials, Reagents, and Equipment",EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
EQUIPMENT AND REAGENTS,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
Equipment and Reagents,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
REAGENTS AND MATERIALS,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
Reagents and Materials,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
"REAGENTS, SUPPLIES, MATERIALS, AND EQUIPMENT",EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
"Reagents, Supplies, Materials, and Equipment",EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),7,EQUIPMENT AND SUPPLIES AND REAGENTS AND STANDARDS (SPLIT TEXT INTO 2 SECTIONS),paragraph,heading 1
"MEDIA, STANDARDS & SOLUTIONS",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"Media, Standards & Solutions",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS & SOLUTIONS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents & Solutions,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS AND CARRIER GAS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents and Carrier Gas,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS AND SOLUTIONS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents and Solutions,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS AND SOLVENTS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents and Solvents,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS AND STANDARDS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents and standards,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents and Standards,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
REAGENTS AND STOCK STANDARD SOLUTIONS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Reagents and Stock Standard Solutions,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"REAGENTS, SOLVENTS, STANDARDS AND GASES",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"Reagents, Solvents, Standards and Gases",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"REAGENTS, STANDARDS AND GAS",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"Reagents, Standards and Gas",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"REAGENTS, STANDARDS, AND GASES",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
"Reagents, Standards, and Gases",REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
STANDARDS AND REAGENTS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Standards and Reagents,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
STANDARDS AND SOLUTIONS,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
Standards and Solutions,REAGENTS AND STANDARDS,8,REAGENTS AND STANDARDS,paragraph,heading 1
CELL HANDLING AND MAINTENANCE,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Cell Handling and Maintenance,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
MAINTENANCE,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Maintenance,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
COLLECTION,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
SAMPLE COLLECTION AND HANDLING,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Sample Collection and Handling,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Sample Collection,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Sample Collection and Dilution Water,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
SAMPLING,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Sampling,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
Collection,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, LABELING & REJECTION","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Collection, Labeling & Rejection","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION AND HANDLING","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, AND STORAGE","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, AND HANDLING","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, AND HOLDING TIME","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Collection, Preservation, and Holding Time","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Collection, Preservation, Shipment and Storage","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, SHIPMENT, AND STORAGE","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Collection, Preservation, Shipment, and Storage","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, STORAGE, AND HOLDING TIME","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Collection, Preservation, Storage, and Holding Time","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE COLLECTION, PRESERVATION, STORAGE, AND HOLDING TIMES","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Collection, Preservation, Storage, and Holding Times","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"SAMPLE CONTAINERS, COLLECTION AND STORAGE","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
"Sample Containers, Collection and Storage","SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",9,"SAMPLE COLLECTION, PRESERVATION, SHIPMENT AND STORAGE",paragraph,heading 1
